Route Code,Destination AD,Fly along,
ZBAA-AGAVO-01,CYMX CYUL CYVR CYYZ KBFI KBWI KDAL KDCA KDET KDFW KDTW KEWR KIAD KJFK KLAS KLAX KLGA KMDW KMEM KORD KPAE KSEA KSFO KSJC KYIP MMTJ NZAA PAED PANC PGSN PGUA PGUM PHNL RJAA RJBB RJCA RJCC RJCH RJCO RJEC RJFF RJGG RJNA RJOO RJTT RJTY RKJB RKJJ RKPC RKPK RKSI RKSM RKSS RKTN RKTU ROAH RONA YBBN YSSY,MUGLO W34 VAPGU W100 ORAVA W201 UNSEK A326 DONVO G597 AGAVO,
ZBAA-ARGUK-01,CYMX CYUL CYVR CYYC CYYZ KBFI KBOS KBWI KDAL KDCA KDET KDFW KDTW KEWR KHIO KHOU KIAD KIAH KJFK KLAS KLAX KLGA KMDW KMEM KORD KPAE KPDX KPHL KPIT KSEA KSFO KSJC KYIP MMTJ PAED PANC PGUA PGUM PHNL UHHH UHPP,DOTRA B334 TGO G212 ARGUK,
ZBAA-BISUN-01,RJAA RJBB RJOO RJTT RJTY UHSS UHWW,DOTRA B334 TGO G341 WQG B451 BISUN,
ZBAA-GOLOT-01,ZKPY,DOTRA B334 KAKAT W31 CHG A575 BIDIB A345 GOLOT,
ZBAA-INTIK-01,DAAA DAAG EBBR EBCI EDDB EDDF EDDL EDDM EDDT EDDV EDFH EFHK EGAE EGCC EGGW EGKK EGLL EGPF EGPH EGSS EHAM EIDW EKCH EKRK ELLX ENFB ENGM EPWA ESKN ESOW ESSA ESSB HLLT KBHM LEBL LEMD LETO LEZG LFAT LFMN LFPB LFPG LFPO LGAV LHBP LIMB LIMC LIML LIPZ LIRA LIRF LKPR LOWW LPPT LRBS LROP LSGG LSZH LYBE LYBT UAAA UACC UHPP UIII UIUU UKBB UKBU UKKK UKKM ULLI UMMS UNKL UNNT UNOO URKK URSS USCC USSS UUDD UUEE UUMO UUWW UWUU ZMUB,IDKEX B339 ASILA A575 INTIK,
ZBAA-KAMUD-01,FNLU HSSS LLBG OIIE OIII OTBD OTHH UAFF UAFO UAFU UBBB UCFM UTAA UTDD UTTT,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 KABDO W119 LIMDO A468 KAMUD,
ZBAA-LAMEN-01,CYMX CYUL CYVR CYYZ KBFI KBWI KDAL KDCA KDET KDFW KDTW KEWR KIAD KJFK KLAS KLAX KLGA KMDW KMEM KOAK KORD KPAE KPTK KSEA KSFO KSJC KYIP MMTJ NZAA PAED PANC PGSN PGUA PGUM PHNL ROAH RONA,ELKUR W40 YQG W142 DALIM A593 PK W116 JTN G327 LAMEN,
ZBAA-POLHO-01,CYMX CYUL CYVR CYYC CYYZ EDDF EFHK KBFI KBOS KBWI KDAL KDCA KDET KDFW KDTW KEWR KHIO KHOU KIAD KIAH KJFK KLAS KLAX KLGA KMDW KMEM KORD KPAE KPDX KPHL KSEA KSFO KSJC KYIP LFAT LFPB LFPG LFPO MMTJ PAED PANC PGUA PGUM PHNL,IDKEX B339 POLHO,
ZBAA-PURPA-01,EBBR EBCI FNLU HAAB HSSS LTBA LTFJ OBBI OBBS OERK OERY OKBK OMAA OMAD OMDB OMDW OMSJ OOMS OPIS OPKC OPLA ORBI ORMM OTBD OTHH VIDP,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 IBANO W187 MAGIV B215 PURPA,
ZBAA-PURPA-02,EBBR EBCI FNLU HAAB HSSS LTBA LTFJ OBBI OBBS OERK OERY OKBK OMAA OMAD OMDB OMDW OMSJ OOMS OPIS OPKC OPLA ORBI ORMM OTBD OTHH VIDP,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 IBANO W187 TUSLI W112 PURPA,
ZBAA-RULAD-01,HEGN HESN LLBG LTBA LTFJ OIIE OIII OTBD OTHH UAAA UAFF UAFU UAII UCFM UTTT,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 KABDO W119 GOBOK A343 RULAD,
ZBAA-SARIN-01,EDDF EDDM EHAM ELLX EPWA HECA HLLT HSSS LFAT LFPB LFPG LFPO LIPZ LLBG LOWW LSZH LTBA LTFJ OEJN OEMA OIIE OIII OMAA OMAD OMDB OMDW ORMM UAAA UACC UAFF UAFU UBBB UCFM UKBB UKBB UKBU UKKK UKKM UTAA UTAV,IDKEX B339 ASILA A575 UPREK W28 ATBUG W66 NUKTI B215 FKG A368 SARIN,
ZBAA-SIMLI-01,CYMX CYUL CYVR CYYZ KBFI KBOS KBWI KDAL KDCA KDET KDFW KDTW KEWR KHIO KHOU KIAD KIAH KJFK KLAS KLAX KLGA KMDW KMEM KORD KPAE KPDX KPHL KPIT KSEA KSFO KSJC KYIP MMTJ PAED PANC PGUA PGUM PHNL UEEE,DOTRA B334 TGO G212 HRB A588 SIMLI,
