Route Code,Fly along
VMMC-TOMUK,ZAO GUBLO W21 NUSLA W22 YIN A461 BUBDA W56 VYK W34 VAPGU W100 ORAVA W201 UNSEK A326 SANKO B332 TOMUK
VMMC-SADLI,ZAO GUBLO W22 SHL G471 PLT A599 JTN G327 LAMEN A593 SADLI
VMMC-RULAD,ZAO GUBLO W21 NUSLA W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG B215 KABDO W119 GOBOK A343 RULAD
VMMC-MORIT,ZAO GUBLO W21 NUSLA W22 SHL W22 TEPID W24 OSNOV G586 QP B330 ELKAL W179 OMBON B330 MORIT
VMMC-LINSO,ZUH R200 LH R339 BSE A599 LINSO
VMMC-GOLOT,ZAO GUBLO W21 NUSLA W22 YIN A461 BUBDA W56 VYK W34 PAMRU W244 IGMOR W36 ENVAV W243 OTBUL W35 CHG A575 BIDIB A345 GOLOT
VMMC-ARGUK,ZAO GUBLO W21 NUSLA W22 YIN A461 BUBDA W56 VYK G212 SOTMU B339 HUR B334 TGO G212 ARGUK
VASRO-TELOK,VASRO R224 YNJ W39 UGABI B451 HLD A345 TELOK
TOMUK-VMMC,TOMUK B332 SANKO A326 UNSEK W55 PAMRU W34 VYK W37 OMBEB R473 NOLON W90 POU W7 SAREX W6 LATOP
AGAVO-TEBAK,AGAVO A591 IKEKA A326 AKARA A593 PK R343 MADUK W51 LEGIV W164 ADGOL W50 XSH W80 UDUMI W37 OLMIB W83 GOSMA R343 WUY R474 TEBAK
TOMUK-TAMOT,TOMUK B332 SANKO A326 UNSEK W55 PAMRU W34 VYK W37 OMBEB R473 WYN W18 TAMOT
TELOK-VASRO,TELOK A345 HLD B451 UGABI W39 YNJ R224 VASRO
TELOK-GOLOT,TELOK A345 GOLOT
TELOK-BISUN,TELOK A345 HLD B451 BISUN
TEBUS-SARIN,TEBUS G588 FKG A368 SARIN
TEBUS-RULAD,TEBUS G588 FKG B215 KABDO W119 GOBOK A343 RULAD
SM-G470-VHHH,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA/MORIT B330 KWE W181 DUDIT A599 POU R473 SIERA
SM-G470-TAMOT,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT/MORIT B330 KWE W181 DUDIT A599 POU B330 TAMOT
SM-AGAVO,SIMLI A588 CHI W107 SANKO A326 DONVO G597 AGAVO/MAGIT R213 JMU G212 HRB A588 CHI W107 SANKO A326 DONVO G597 AGAVO
SIMLI-VHHH,SIMLI A588 HRB G212 VYK W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA
SIMLI-TAMOT,SIMLI A588 HRB G212 VYK W37 OMBEB R473 WYN W18 TAMOT
SIMLI-AGAVO,SIMLI A588 CHI W107 SANKO A326 DONVO G597 AGAVO
TEBAK-GOPTO,TEBAK R474 WUY R343 LBN W2 SJG B330 ELKAL W179 OMBON B330 SUNUV W197 ANDIM B215 IBANO G470 AKLAS W192 FKG G588 NIRAV B206 GOPTO
SIKOU-LINSO,SIKOU R339 BSE A599 LINSO
SIKOU-ASSAD,SIKOU A202 ASSAD
SGM-VHHH,SARIN A368 FKG W188 GOVSA W66 GOBIN B330 KWE W181 DUDIT A599 POU R473 SIERA/GOPTO B206 ADPET W188 GOVSA W66 GOBIN B330 KWE W181 DUDIT A599 POU R473 SIERA/MORIT B330 KWE W181 DUDIT A599 POU R473 SIERA
SGM-TAMOT,SARIN A368 FKG W188 GOVSA W66 GOBIN B330 KWE W181 DUDIT A599 POU B330 TAMOT/GOPTO B206 ADPET W188 GOVSA W66 GOBIN B330 KWE W181 DUDIT A599 POU B330 TAMOT/MORIT B330 KWE W181 DUDIT A599 POU B330 TAMOT
SGMRN-G470-VHHH,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA/GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA/MORIT B330 KWE W181 DUDIT A599 POU R473 SIERA/RULAD A343 POSOT B215 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA/NIXAL G343 TMR B458 DADGA W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA
SGMRN-G470-TAMOT,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT/GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT/MORIT B330 KWE W181 DUDIT A599 POU B330 TAMOT/RULAD A343 POSOT B215 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT/NIXAL G343 TMR B458 DADGA W37 OMBEB R473 WYN W18 TAMOT
SGMRN-G470/Y1-VHHH,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA/GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU R473 SIERA/MORIT B330 KWE W181 DUDIT A599 POU R473 SIERA/RULAD A460 XKC L888 SADAN Y1 OMBON B330 KWE W181 DUDIT A599 POU R473 SIERA/NIXAL G343 TMR B458 DADGA W37 OMBEB R473 WYN W18 NLG W23 ZUH R473 SIERA
SGMRN-G470/Y1-TAMOT,SARIN A368 FKG W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT/GOPTO B206 ADPET W188 DAKPA W189 AKLAS W192 ESDEX W191 DNC W565 XIXAN B330 KWE W181 DUDIT A599 POU B330 TAMOT/MORIT B330 KWE W181 DUDIT A599 POU B330 TAMOT/RULAD A460 XKC L888 SADAN Y1 OMBON B330 KWE W181 DUDIT A599 POU B330 TAMOT/NIXAL G343 TMR B458 DADGA W37 OMBEB R473 WYN W18 TAMOT
